,first_cell,second_cell,n_solutions
0,0,1,432
1,0,2,319
2,0,3,197
3,0,4,155
4,0,5,492
5,0,6,432
6,0,7,55
7,0,8,118
8,0,9,212
9,0,10,205
10,0,11,99
11,0,12,315
12,0,13,118
13,0,14,198
14,0,15,121
15,0,16,202
16,0,17,93
17,0,18,506
18,0,19,183
19,0,20,194
20,0,21,130
21,0,22,259
22,0,23,147
23,0,24,170
24,0,25,312
25,0,26,100
26,0,27,205
27,0,28,126
28,0,29,202
29,0,30,109
30,0,31,239
31,0,32,105
32,0,33,582
33,0,34,94
34,0,35,102
35,0,36,143
36,0,37,145
37,0,38,149
38,0,39,734
39,0,40,256
40,0,41,347
41,0,42,312
42,1,2,220
43,1,3,119
44,1,4,27
45,1,5,177
46,1,6,0
47,1,7,43
48,1,8,28
49,1,9,104
50,1,10,61
51,1,11,74
52,1,12,119
53,1,13,73
54,1,14,80
55,1,15,41
56,1,16,47
57,1,17,25
58,1,18,229
59,1,19,93
60,1,20,38
61,1,21,76
62,1,22,54
63,1,23,53
64,1,24,67
65,1,25,96
66,1,26,21
67,1,27,54
68,1,28,45
69,1,29,73
70,1,30,47
71,1,31,47
72,1,32,37
73,1,33,119
74,1,34,41
75,1,35,30
76,1,36,38
77,1,37,26
78,1,38,51
79,1,39,192
80,1,40,164
81,1,41,70
82,1,42,172
83,2,3,189
84,2,4,107
85,2,5,138
86,2,6,96
87,2,7,125
88,2,8,156
89,2,9,71
90,2,10,109
91,2,11,108
92,2,12,131
93,2,13,83
94,2,14,113
95,2,15,76
96,2,16,162
97,2,17,13
98,2,18,373
99,2,19,76
100,2,20,130
101,2,21,92
102,2,22,135
103,2,23,92
104,2,24,114
105,2,25,160
106,2,26,77
107,2,27,105
108,2,28,114
109,2,29,105
110,2,30,85
111,2,31,175
112,2,32,121
113,2,33,353
114,2,34,98
115,2,35,78
116,2,36,81
117,2,37,75
118,2,38,64
119,2,39,444
120,2,40,206
121,2,41,188
122,2,42,231
123,3,4,170
124,3,5,349
125,3,6,95
126,3,7,117
127,3,8,45
128,3,9,163
129,3,10,105
130,3,11,126
131,3,12,77
132,3,13,113
133,3,14,83
134,3,15,125
135,3,16,82
136,3,17,32
137,3,18,250
138,3,19,221
139,3,20,93
140,3,21,114
141,3,22,96
142,3,23,94
143,3,24,159
144,3,25,174
145,3,26,76
146,3,27,101
147,3,28,96
148,3,29,122
149,3,30,90
150,3,31,82
151,3,32,69
