,n_solutions,log_n_solutions,log_n_standardized
2028-01-01,315,5.752572638825633,1.8041998687697336
2028-01-02,118,4.770684624465665,0.4731039566866453
2028-01-03,198,5.288267030694535,1.1747642428104783
2028-01-04,121,4.795790545596741,0.5071387839764349
2028-01-05,202,5.308267697401205,1.2018781349273286
2028-01-06,93,4.532599493153256,0.15034398774630803
2028-01-07,506,6.226536669287466,2.4467289293097068
2028-01-08,183,5.209486152841421,1.067964991850121
2028-01-09,194,5.267858159063328,1.1470969679265537
2028-01-10,130,4.867534450455582,0.6043983666150216
2028-01-11,259,5.556828061699537,1.5388388473351065
2028-01-12,147,4.990432586778736,0.7710051532036264
2028-01-13,170,5.135798437050262,0.9680702830586217
2028-01-14,312,5.7430031878094825,1.7912270480995673
2028-01-15,100,4.605170185988092,0.24872440502072976
2028-01-16,205,5.3230099791384085,1.2218635005374383
2028-01-17,126,4.836281906951478,0.5620308743021344
2028-01-18,202,5.308267697401205,1.2018781349273286
2028-01-19,109,4.6913478822291435,0.36555114850020365
2028-01-20,239,5.476463551931511,1.4298927466960125
2028-01-21,105,4.653960350157523,0.31486676252585316
2028-01-22,582,6.366470447731438,2.636430074170434
2028-01-23,94,4.543294782270004,0.16484305017872736
2028-01-24,102,4.624972813284271,0.27556982512663725
2028-01-25,143,4.962844630259907,0.7336055560928741
2028-01-26,145,4.976733742420574,0.7524343228658128
2028-01-27,149,5.003946305945459,0.7893250186839983
2028-01-28,734,6.598509028614515,2.950993040559585
2028-01-29,256,5.545177444479562,1.5230446949185885
2028-01-30,347,5.849324779946859,1.9353618522630325
2028-01-31,312,5.7430031878094825,1.7912270480995673
2028-02-01,119,4.77912349311153,0.4845441040281305
2028-02-02,73,4.290459441148391,-0.17791303205788792
2028-02-03,80,4.382026634673881,-0.05378001973860605
2028-02-04,41,3.713572066704308,-0.9599700636384254
2028-02-05,47,3.8501476017100584,-0.7748215195295372
2028-02-06,25,3.2188758248682006,-1.6306047343958
2028-02-07,229,5.43372200355424,1.371950191649985
2028-02-08,93,4.532599493153256,0.15034398774630803
2028-02-09,38,3.6375861597263857,-1.0629803139673981
2028-02-10,76,4.330733340286331,-0.12331574425913348
2028-02-11,54,3.9889840465642745,-0.5866079743076222
2028-02-12,53,3.970291913552122,-0.6119479534872316
2028-02-13,67,4.204692619390966,-0.2941827737840703
2028-02-14,96,4.564348191467836,0.1933840920376752
2028-02-15,21,3.044522437723423,-1.8669668016500098
2028-02-16,54,3.9889840465642745,-0.5866079743076222
2028-02-17,45,3.8066624897703196,-0.8337720860839034
2028-02-18,73,4.290459441148391,-0.17791303205788792
2028-02-19,47,3.8501476017100584,-0.7748215195295372
2028-02-20,47,3.8501476017100584,-0.7748215195295372
2028-02-21,37,3.6109179126442243,-1.0991331075185298
2028-02-22,119,4.77912349311153,0.4845441040281305
2028-02-23,41,3.713572066704308,-0.9599700636384254
2028-02-24,30,3.4011973816621555,-1.3834406226195186
2028-02-25,38,3.6375861597263857,-1.0629803139673981
2028-02-26,26,3.258096538021482,-1.5774351975608414
2028-02-27,51,3.9318256327243257,-0.6640947445816267
2028-02-28,192,5.2574953720277815,1.1330486617459397
2028-02-29,164,5.099866427824199,0.9193590757781037
2028-03-01,131,4.875197323201151,0.6147865355683706
2028-03-02,83,4.418840607796598,-0.0038731786176994703
2028-03-03,113,4.727387818712341,0.4144086673036983
2028-03-04,76,4.330733340286331,-0.12331574425913348
2028-03-05,162,5.087596335232384,0.902725131936257
2028-03-06,13,2.5649493574615367,-2.517099767269106
2028-03-07,373,5.921578419643816,2.0333124566366227
2028-03-08,76,4.330733340286331,-0.12331574425913348
2028-03-09,130,4.867534450455582,0.6043983666150216
2028-03-10,92,4.5217885770490405,0.1356881756559903
2028-03-11,135,4.90527477843843,0.655561020159977
2028-03-12,92,4.5217885770490405,0.1356881756559903
2028-03-13,114,4.736198448394496,0.4263527922764824
2028-03-14,160,5.075173815233827,0.8858845499696585
2028-03-15,77,4.343805421853684,-0.10559458453190892
2028-03-16,105,4.653960350157523,0.31486676252585316
2028-03-17,114,4.736198448394496,0.4263527922764824
2028-03-18,105,4.653960350157523,0.31486676252585316
